demand_id,departamento,dep,prov,dist,ubigeo,tipo_demanda,poblacion,facility_id,t_min,distance_m,straight_line_m,confiabilidad
D2001110003,PIURA,Piura,Piura,Las Lomas,200111,disperso,15,F10777,66.89666666666668,83978.6,58718.40926042316,confiable
D2001110004,PIURA,Piura,Piura,Las Lomas,200111,disperso,24,F10777,67.25833333333334,84217.2,59956.45455052137,confiable
D2001110007,PIURA,Piura,Piura,Las Lomas,200111,disperso,44,F10777,60.638333333333335,81514.9,59866.39436175306,confiable
D2001110008,PIURA,Piura,Piura,Las Lomas,200111,disperso,40,F16148,64.14666666666668,65922.4,51372.30279939239,confiable
D2001110010,PIURA,Piura,Piura,Las Lomas,200111,disperso,4,F10777,60.71333333333334,80035.5,54552.470214910776,confiable
D2001110011,PIURA,Piura,Piura,Las Lomas,200111,disperso,48,F10777,59.419999999999995,80085.1,58983.21041722727,confiable
D2001110016,PIURA,Piura,Piura,Las Lomas,200111,disperso,76,F10777,107.90833333333333,113065.2,77557.63175200143,confiable
D2001110017,PIURA,Piura,Piura,Las Lomas,200111,disperso,18,F10777,109.58666666666666,113761.3,77808.6610109734,confiable
D2001110018,PIURA,Piura,Piura,Las Lomas,200111,disperso,60,F10777,110.74833333333332,114245.5,77061.45854191815,confiable
D2001110019,PIURA,Piura,Piura,Las Lomas,200111,disperso,23,F10777,111.33500000000001,114489.8,77041.42185513632,confiable
D2001110028,PIURA,Piura,Piura,Las Lomas,200111,disperso,10,F10777,63.54,75597.6,49913.32656047308,confiable
D2001110029,PIURA,Piura,Piura,Las Lomas,200111,disperso,124,F10777,61.440000000000005,74900.1,49098.573346393874,confiable
D2001110031,PIURA,Piura,Piura,Las Lomas,200111,disperso,121,F16148,57.695,61351.9,46988.11339615286,confiable
D2001110041,PIURA,Piura,Piura,Las Lomas,200111,disperso,30,F10777,79.54666666666667,98313.7,66113.06438756613,confiable
D2001110043,PIURA,Piura,Piura,Las Lomas,200111,disperso,110,F31235,90.79833333333333,68386.6,43859.75280546916,confiable
D2001110047,PIURA,Piura,Piura,Las Lomas,200111,disperso,102,F10777,49.26166666666666,67438.4,49178.035661256734,confiable
D2001110062,PIURA,Piura,Piura,Las Lomas,200111,disperso,78,F10777,90.14833333333333,105192.9,74527.98200610683,confiable
D2001110065,PIURA,Piura,Piura,Las Lomas,200111,disperso,72,F10777,64.02166666666668,76616.5,48049.629811528845,confiable
D2001110066,PIURA,Piura,Piura,Las Lomas,200111,disperso,7,F16148,54.89333333333333,59283.5,45284.00966717319,confiable
D2001110067,PIURA,Piura,Piura,Las Lomas,200111,disperso,65,F16148,54.666666666666664,53488.0,40015.46953087627,confiable
D2001110072,PIURA,Piura,Piura,Las Lomas,200111,disperso,111,F10777,60.68,74611.2,42262.7721488645,confiable
D2001110075,PIURA,Piura,Piura,Las Lomas,200111,disperso,28,F10777,48.08833333333334,57349.0,39855.92137907226,confiable
D2001110076,PIURA,Piura,Piura,Las Lomas,200111,disperso,48,F10777,50.24166666666667,58768.0,41072.22375590175,confiable
D2001110079,PIURA,Piura,Piura,Las Lomas,200111,disperso,67,F10777,84.575,100843.3,64037.38018234155,confiable
D2001110081,PIURA,Piura,Piura,Las Lomas,200111,disperso,36,F10777,59.15333333333333,64953.5,41983.1915963187,confiable
D2001110084,PIURA,Piura,Piura,Las Lomas,200111,disperso,79,F10777,59.544999999999995,73639.9,49497.3274477986,confiable
D2001110085,PIURA,Piura,Piura,Las Lomas,200111,disperso,33,F16148,55.715,60035.3,46031.30213157612,confiable
D2001110090,PIURA,Piura,Piura,Las Lomas,200111,disperso,62,F10777,79.34666666666666,98176.1,66329.06352596237,confiable
D2001110093,PIURA,Piura,Piura,Las Lomas,200111,disperso,22,F10777,61.08833333333334,74483.6,43470.76369433414,confiable
D2001140021,PIURA,Piura,Piura,Tambo Grande,200114,disperso,138,F31235,59.315000000000005,49282.3,33872.90180848575,confiable
D2001140022,PIURA,Piura,Piura,Tambo Grande,200114,disperso,121,F31235,60.355000000000004,49971.9,34526.44907037049,confiable
D2001140023,PIURA,Piura,Piura,Tambo Grande,200114,disperso,144,F10777,49.52833333333333,60957.8,49710.719886690116,confiable
D2001140027,PIURA,Piura,Piura,Tambo Grande,200114,disperso,14,F31235,56.17166666666667,46909.2,30109.63819630223,confiable
D2001140028,PIURA,Piura,Piura,Tambo Grande,200114,disperso,50,F31235,54.48833333333334,45667.8,28808.154483534254,confiable
D2001140030,PIURA,Piura,Piura,Tambo Grande,200114,disperso,64,F31235,62.28333333333333,48996.5,31764.25723015694,confiable
D2001140034,PIURA,Piura,Piura,Tambo Grande,200114,disperso,76,F31235,48.45166666666667,40793.0,29463.05227012376,confiable
D2001140041,PIURA,Piura,Piura,Tambo Grande,200114,disperso,148,F10777,29.85,37645.1,32004.567449657177,confiable
D2001140057,PIURA,Piura,Piura,Tambo Grande,200114,disperso,108,F31235,67.60833333333333,42904.1,24016.69644623241,confiable
D2001140058,PIURA,Piura,Piura,Tambo Grande,200114,disperso,97,F31235,67.11833333333333,42670.1,22023.007659424184,confiable
D2001140059,PIURA,Piura,Piura,Tambo Grande,200114,disperso,36,F31235,33.608333333333334,24625.9,18528.560586782285,confiable
D2001140060,PIURA,Piura,Piura,Tambo Grande,200114,disperso,79,F31235,59.67666666666666,39605.0,21635.873436500955,confiable
D2001140062,PIURA,Piura,Piura,Tambo Grande,200114,disperso,149,F31235,44.945,33498.8,19552.88429699333,confiable
D2001140063,PIURA,Piura,Piura,Tambo Grande,200114,disperso,119,F31235,47.855000000000004,34692.9,20482.869973358975,confiable
D2001140075,PIURA,Piura,Piura,Tambo Grande,200114,disperso,64,F31235,41.931666666666665,35592.3,26929.46722874025,confiable
D2001140116,PIURA,Piura,Piura,Tambo Grande,200114,disperso,87,F10777,29.58833333333333,30632.4,26259.560803402703,confiable
D2001140121,PIURA,Piura,Piura,Tambo Grande,200114,disperso,32,F31235,40.43,38417.8,24302.231959303535,confiable
D2001140131,PIURA,Piura,Piura,Tambo Grande,200114,disperso,113,F31235,61.655,40440.4,17507.467124798415,confiable
D2001140132,PIURA,Piura,Piura,Tambo Grande,200114,disperso,145,F31235,62.41166666666666,40757.2,16774.23474918113,confiable
D2001140133,PIURA,Piura,Piura,Tambo Grande,200114,disperso,97,F31235,27.625,19782.4,12584.80728936852,confiable
D2001140155,PIURA,Piura,Piura,Tambo Grande,200114,disperso,129,F31235,29.831666666666667,29968.3,22794.384640195305,confiable
D2001140156,PIURA,Piura,Piura,Tambo Grande,200114,disperso,94,F31235,39.595,36230.5,25637.704746217023,confiable
D2001140157,PIURA,Piura,Piura,Tambo Grande,200114,disperso,75,F31235,66.51666666666667,42458.4,19485.280095992508,confiable
D2001140158,PIURA,Piura,Piura,Tambo Grande,200114,disperso,127,F31235,28.921666666666667,29628.6,22377.886844608434,confiable
D2001140164,PIURA,Piura,Piura,Tambo Grande,200114,disperso,114,F10777,21.84,23274.3,16493.559866629654,confiable
D2001140166,PIURA,Piura,Piura,Tambo Grande,200114,disperso,90,F31235,25.383333333333333,25392.2,18490.704487770396,confiable
D2001140167,PIURA,Piura,Piura,Tambo Grande,200114,disperso,112,F31235,26.796666666666667,26418.8,18306.85928275379,confiable
D2001140177,PIURA,Piura,Piura,Tambo Grande,200114,disperso,60,F31235,25.228333333333335,25380.3,17745.516627988356,confiable
D2001140182,PIURA,Piura,Piura,Tambo Grande,200114,disperso,92,F10777,69.14666666666668,75317.4,54249.434923123925,confiable
D2001140187,PIURA,Piura,Piura,Tambo Grande,200114,disperso,27,F10777,29.65666666666667,27169.0,17334.98171591811,confiable
D2001140189,PIURA,Piura,Piura,Tambo Grande,200114,disperso,84,F10777,68.94333333333334,75232.9,54074.04638100371,confiable
D2001140195,PIURA,Piura,Piura,Tambo Grande,200114,disperso,88,F10777,40.730000000000004,53107.6,41464.18702532572,confiable
D2001140198,PIURA,Piura,Piura,Tambo Grande,200114,disperso,16,F10777,50.59166666666667,61379.2,50031.98766696964,confiable
D2001140199,PIURA,Piura,Piura,Tambo Grande,200114,disperso,4,F31235,32.655,33938.6,27039.91235784038,confiable
D2001150002,PIURA,Piura,Piura,Veintiseis de Octubre,200115,disperso,61,F2084,13.716666666666667,15282.7,5095.795118243827,confiable
D2001150003,PIURA,Piura,Piura,Veintiseis de Octubre,200115,disperso,1,F2084,13.271666666666667,15466.3,4786.486230995944,confiable
D2001150004,PIURA,Piura,Piura,Veintiseis de Octubre,200115,disperso,5,F2084,12.073333333333332,7572.1,4589.527982449758,confiable
D2002010002,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,28,F10777,133.295,150152.9,108586.29763385243,confiable
D2002010003,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,4,F10777,153.1,163316.5,109177.45116407715,confiable
D2002010004,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,131,F10777,156.22666666666666,199997.5,115036.65817677308,confiable
D2002010006,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,69,F10777,166.33666666666667,206798.4,114158.13367107404,confiable
D2002010007,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,71,F10777,167.10833333333332,207383.0,120539.28954345742,confiable
D2002010009,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,118,F10777,184.395,218959.2,126677.35564535588,confiable
D2002010010,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,27,F10777,182.02166666666665,217084.7,118298.45965673332,confiable
D2002010011,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,43,F10777,162.92833333333334,227440.2,126209.20062582742,confiable
D2002010012,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,24,F10777,163.88,205325.3,123279.28070127059,confiable
D2002010014,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,68,F10777,166.825,226756.0,130533.56072014051,confiable
D2002010015,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,101,F10777,160.80333333333334,203216.3,121341.479519902,confiable
D2002010018,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,34,F10777,161.17999999999998,203465.6,113013.59626608892,confiable
D2002010019,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,53,F10777,161.12,203370.5,113231.08841523316,confiable
D2002010021,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,102,F10777,140.40833333333333,154878.1,107430.60122895348,confiable
D2002010024,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,72,F10777,156.75333333333336,200523.3,120488.5774159389,confiable
D2002010026,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,92,F10777,167.27166666666665,207509.3,123241.80673208917,confiable
D2002010027,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,6,F10777,165.13333333333333,220526.4,129261.06770218132,confiable
D2002010028,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,126,F10777,165.02166666666665,220745.7,129588.15848083567,confiable
D2002010029,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,4,F10777,186.23333333333332,234970.2,137007.10338838553,confiable
D2002010031,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,68,F10777,181.73666666666668,237330.4,132933.65434531638,confiable
D2002010033,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,34,F10777,149.76666666666668,207543.8,124051.02079316763,confiable
D2002010034,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,83,F10777,152.08333333333334,210118.9,124419.09985728242,confiable
D2002010035,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,30,F10777,159.74833333333333,210862.8,126826.65376033586,confiable
D2002010036,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,100,F10777,145.12166666666664,189704.5,116601.31798426258,confiable
D2002010037,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,53,F10777,162.9633333333333,204599.3,119766.76466132217,confiable
D2002010038,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,63,F10777,142.78333333333333,199062.7,118964.9429123759,confiable
D2002010039,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,58,F10777,158.58666666666667,201745.6,117716.99201083601,confiable
D2002010040,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,130,F10777,157.165,200592.6,115847.8211330602,confiable
D2002010041,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,104,F10777,159.065,201704.9,118457.70256667324,confiable
D2002010042,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,45,F10777,152.45666666666665,197705.6,113253.48938457182,confiable
D2002010044,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,23,F10777,160.29166666666666,167831.9,110834.46798755905,confiable
D2002010045,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,129,F10777,153.005,197896.3,110733.83184486422,confiable
D2002010046,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,93,F10777,164.57000000000002,205657.2,111596.54483821768,confiable
D2002010047,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,111,F10777,162.99166666666667,169623.3,111032.4163924778,confiable
D2002010048,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,63,F10777,159.23666666666668,202113.8,112410.44621167277,confiable
D2002010050,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,6,F10777,157.78166666666667,201145.7,112503.04722005801,confiable
D2002010051,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,59,F10777,155.4116666666667,199644.8,111037.35796121716,confiable
D2002010054,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,105,F10777,143.03,196679.5,116978.9217536457,confiable
D2002010055,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,23,F10777,141.03166666666667,196387.0,117676.82192453364,confiable
D2002010056,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,124,F10777,141.13166666666666,196521.9,117940.03362689639,confiable
D2002010057,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,88,F10777,143.84833333333333,200570.7,120038.55128247262,confiable
D2002010058,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,146,F10777,149.01833333333335,205504.9,122831.27114745254,confiable
D2002010059,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,98,F10777,149.82999999999998,206023.2,123876.16319978738,confiable
D2002010060,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,38,F10777,151.22666666666666,210938.0,125029.9995896021,confiable
D2002010063,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,6,F10777,159.53,212446.7,125727.26316989651,confiable
D2002010064,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,54,F10777,164.71166666666667,216002.0,128880.90853574936,confiable
D2002010065,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,29,F10777,167.68833333333333,217874.7,128566.1403925699,confiable
D2002010068,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,87,F10777,183.99666666666664,227735.1,132852.21336492503,confiable
D2002010069,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,109,F10777,178.27333333333334,224884.3,131255.46906942237,confiable
D2002010070,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,101,F10777,203.85166666666666,252638.6,138825.2440734618,confiable
D2002010075,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,107,F10777,166.5883333333333,225302.5,128089.67703060519,confiable
D2002010076,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,120,F10777,161.17333333333332,219862.0,127078.77907251392,confiable
D2002010077,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,103,F10777,153.98333333333332,208808.3,123182.45332192576,confiable
D2002010078,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,55,F10777,146.69333333333333,203927.2,120681.30063877681,confiable
D2002010079,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,89,F10777,147.90166666666667,205536.4,121728.08081085536,confiable
D2002010084,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,38,F10777,135.01000000000002,187790.9,115280.10805936862,confiable
D2002010089,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,7,F10777,137.84333333333333,153396.7,103088.21633165007,confiable
D2002010090,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,52,F10777,118.545,164029.8,102017.8210526856,confiable
D2002010091,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,66,F10777,140.05499999999998,184367.2,109006.46208210345,confiable
D2002010092,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,13,F10777,138.07333333333332,183542.6,109462.09405490021,confiable
D2002010094,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,52,F10777,141.2133333333333,187123.3,113725.28798599694,confiable
D2002010095,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,65,F10777,142.4116666666667,188024.9,114122.31171171548,confiable
D2002010096,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,74,F10777,145.88666666666668,194742.6,115170.3692009534,confiable
D2002010097,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,90,F10777,141.77,187696.0,114656.26234605533,confiable
D2002010098,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,138,F10777,139.37833333333336,185583.1,112515.92839703675,confiable
D2002010099,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,56,F10777,145.55166666666668,195690.8,115588.61745788286,confiable
D2002010100,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,142,F10777,147.03,196621.9,116762.70333302497,confiable
D2002010102,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,26,F10777,147.04500000000002,204392.3,120588.05116158653,confiable
D2002010103,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,125,F10777,159.45666666666665,214724.6,121468.08697710244,confiable
D2002010105,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,46,F10777,155.14833333333334,215404.7,123241.57292572617,confiable
D2002010108,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,79,F10777,156.32833333333335,213422.6,122679.70968180608,confiable
D2002010114,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,39,F10777,179.485,223686.9,125447.06073280264,confiable
D2002010118,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,15,F10777,178.54166666666666,234529.0,118904.88166077889,confiable
D2002010120,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,122,F10777,151.345,189053.6,110300.42290258993,confiable
D2002010121,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,81,F10777,137.12333333333333,179549.0,108244.35380689008,confiable
D2002010122,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,65,F10777,123.48,172071.1,105783.05290423514,confiable
D2002010124,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,142,F10777,122.41833333333334,170570.7,104793.76143028615,confiable
D2002010126,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,114,F10777,128.07666666666668,170453.1,104809.6039075127,confiable
D2002010127,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,129,F10777,125.56666666666666,169459.9,103291.16460222684,confiable
D2002010129,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,100,F10777,117.03333333333333,162499.1,101329.58104775976,confiable
D2002010130,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,74,F10777,128.77166666666668,168285.1,99933.81550370701,confiable
D2002010131,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,91,F10777,104.53166666666667,144727.8,96678.2139865444,confiable
D2002010132,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,95,F10777,115.07,159871.9,100126.79380271379,confiable
D2002010133,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,37,F10777,129.125,165704.4,101702.47630679549,confiable
D2002010134,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,8,F10777,126.87666666666668,161750.3,106668.35524864246,confiable
D2002010139,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,97,F10777,161.62666666666667,224530.5,121444.85904537581,confiable
D2002010142,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,106,F10777,187.20333333333335,243131.0,131189.5882833219,confiable
D2002010143,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,77,F10777,187.20333333333335,243131.0,128013.6337877976,confiable
D2002010145,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,24,F10777,163.67166666666665,227412.4,120758.38667917573,confiable
D2002010147,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,123,F10777,214.87333333333333,261511.5,127097.81355903701,confiable
D2002010149,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,34,F10777,183.1,237175.7,112848.4434482076,confiable
D2002010151,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,19,F10777,152.62333333333333,206231.1,121161.90282734938,confiable
D2002010152,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,77,F10777,126.87666666666668,161750.3,106367.19183235466,confiable
D2002010153,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,49,F10777,126.815,161710.1,103811.4582295265,confiable
D2002010154,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,119,F10777,171.185,232211.2,118178.97210700333,confiable
D2002010157,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,46,F10777,168.475,230694.0,120954.6173596684,confiable
D2002010158,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,73,F10777,173.12666666666667,233782.9,123772.85118609095,confiable
D2002010159,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,34,F10777,176.25666666666666,235854.4,122397.3083422829,confiable
D2002010160,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,130,F10777,189.5883333333333,244707.4,126881.03550607024,confiable
D2002010161,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,62,F10777,187.21166666666667,243136.7,129798.80361984974,confiable
D2002010162,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,7,F31235,171.755,177096.8,81957.49703097598,confiable
D2002010166,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,146,F31235,161.48166666666665,170265.8,78924.3945080563,confiable
D2002010168,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,17,F10777,213.01333333333332,256356.4,132951.61292935425,confiable
D2002010169,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,100,F10777,192.42666666666668,246594.0,126382.64959209411,confiable
D2002010170,PIURA,Piura,Ayabaca,Ayabaca,200201,disperso,55,F10777,211.36666666666667,259181.9,126244.14872051142,confiable
