banda,poblacion,pct_poblacion
<=120,403761,0.08668541811719893
<=30,2978448,0.6394575261611075
<=60,504428,0.10829810727143636
>120,281149,0.06036124989345767
no_confiable,466421,0.10013819909214125
sin_ruta,23566,0.005059499464658325
